url,url_length,dot_count,has_at,special_char_count,entropy,suspicious_keywords,subdomain_length,is_free_hosting,has_hyphen,is_ip,evalUsageCount,fetchCount,xhrCount,wsCount,scriptInjectionCount,eventListenerCount,domMutationCount,attributeMutationCount,pageLoadTime,memoryUsed,label
https://bit.ly/3C67RTD,22,1,0,0,2.584962501,0,0,0,0,0,0,0,0,0,0,0,0,0,6122,10000000,1
https://prod-rd-10040.firebaseapp.com/,38,2,0,2,3.952302978,0,13,0,1,0,0,0,2,0,2,143,0,0,6437,19300000,1
https://blues.org,17,1,0,0,3.169925001,0,0,0,0,0,0,2,4,0,5,562,5,0,9974,16100000,0
http://farmerregistry.co.in,27,2,0,0,3.621928095,0,14,0,0,0,0,0,0,0,0,0,0,0,6021,10000000,0
https://mediacombb-100205.weeblysite.com/,41,2,0,1,4.054229297,0,17,1,1,0,0,0,0,0,0,0,0,0,6029,10000000,1
https://link.sbstck.com/redirect/74ba215b-e41f-46c6-bb52-78bfc54d5207?j=eyJ1IjoiNTNmOXJoIn0.1QwIBDQA1tfcu_3JmwMtLjUHmfMWzWu7BZdefbw-hFA,135,2,0,6,3.373557262,0,4,0,0,0,0,0,1,0,2,92,4,0,6107,29400000,1
https://identi.ca,17,1,0,0,2.947702779,0,0,0,0,0,0,0,2,0,0,14,0,0,6032,10000000,0
https://tochno.st,17,1,0,0,2.725480557,0,0,0,0,0,9,2,6,0,15,306,225,72,7887,56800000,0
https://teamworkonline.com,26,1,0,0,3.572431251,0,0,0,0,0,0,2,4,0,7,781,3,0,7835,37300000,0
https://ucl.dk,14,1,0,0,2.584962501,0,0,0,0,0,14,2,3,0,15,261,0,0,8267,37300000,0
https://citrus.tel,18,1,0,0,3.121928095,0,0,0,0,0,0,0,0,0,1,641,0,73,7122,10000000,0
http://luxury333yp.com,22,1,0,0,3.323231429,0,0,0,0,0,0,0,0,0,0,0,0,0,6017,10000000,0
https://wikio.fr,16,1,0,0,2.75,0,0,0,0,0,0,0,0,0,0,5,0,0,6321,10000000,0
https://rainbowplantlife.com,28,1,0,0,3.821928095,0,0,0,0,0,0,2,6,0,2,95,82,0,6696,13400000,0
https://inwheel.ru,18,1,0,0,3.121928095,0,0,0,0,0,0,4,5,0,9,1078,0,0,8376,68000000,0
